file_name,found_total,found_date,sol_total,sol_date
001.jpg,170.0,,170.0,02/01/2019
002.jpg,436.2,,436.2,09/02/2018
003.jpg,,,4.9,01/02/2018
004.jpg,38.9,,38.9,18/01/2018
005.jpg,7.3,,7.3,05/02/2018
006.jpg,6.36,,6.35,29/01/2018
007.jpg,7.95,,7.95,31/12/2017
008.jpg,8.0,,8.0,08/01/2018
010.jpg,,,169.8,20-11-17
011.jpg,,,1.0,23.03.18
013.jpg,30.25,,30.25,22 MAR 18
014.jpg,53.0,,53.0,20/03/2018
015.jpg,27.35,,27.35,27/01/2018
016.jpg,420.0,,127.2,15/03/2018
017.jpg,4.0,,1.05,29/01/2018
018.jpg,,,4.2,02/01/2018
019.jpg,31.9,,31.9,02/03/2018
020.jpg,96.2,,8.2,07 MAR 2018
021.jpg,8.2,,8.2,13 MAR 2018
022.jpg,93.8,,33.8,03/03/18
023.jpg,49.7,,49.7,11/03/2018
024.jpg,269.4,,269.4,03 MAR 19
025.jpg,8.2,,8.2,26 MAR 2018
026.jpg,,,72.0,13/03/2018
027.jpg,0.3,,22.6,22-03-2018
028.jpg,8.5,,8.5,25 MAR 2018
029.jpg,6.69,,6.6,20 MAR 2018
030.jpg,,,21.6,20/03/18
031.jpg,133.7,,133.7,09/03/18
032.jpg,81.0,,81.0,08/03/18
033.jpg,5.35,,5.35,10-03-18
034.jpg,66.17,,66.15,25/03/18
035.jpg,10.4,,10.4,09/03/2018
036.jpg,0.9,,0.9,14/03/2018
037.jpg,,,110.0,23/2/2018
039.jpg,1.46,,1.45,14/02/2018
040.jpg,,,140.65,23/12/17
041.jpg,5.05,,5.05,20/08/17
042.jpg,6.0,,56.0,10/07/2017
043.jpg,19.6,,19.6,11/02/2017
044.jpg,5.06,,5.0,05/01/2017
045.jpg,26.0,,26.0,18/09/2017
046.jpg,46.65,,46.65,17/01/2017
047.jpg,52.45,,52.45,13/09/2017
048.jpg,,,10.0,07/12/2017
049.jpg,141.51,,150.0,04/12/2016
050.jpg,30.0,,30.0,23/03/17
051.jpg,41.55,,12.25,14/03/2018
052.jpg,9.05,,5.15,22/03/18
053.jpg,,,7.95,14/03/18
054.jpg,6.0,,13.4,20/03/2018
055.jpg,10.5,,10.5,08/02/2018
056.jpg,7.0,,7.0,02/02/2018
057.jpg,56.8,,56.8,09/02/2018
